Chrlevel	Year	ContigN50	Platform	Genome_num
yes	2022/7/1	21000.00 	HiFi	1
yes	2023/7/17	20900.00 	Other_TGS	1
yes	2021/7/12	20700.00 	HiFi	1
yes	2022/12/31	20600.00 	HiFi	1
yes	2020/12/1	20100.00 	Other_TGS	1
yes	2023/3/6	20077.03 	HiFi	1
yes	2023/8/4	19844.74 	HiFi	1
yes	2023/4/26	19800.00 	HiFi	1
yes	2022/4/7	19750.00 	Other_TGS	1
yes	2022/4/1	19650.00 	Other_TGS	1
yes	2023/4/4	19600.00 	Other_TGS	1
yes	2020/7/21	19500.00 	Other_TGS	1
yes	2022/5/12	19420.00 	HiFi	1
yes	2023/3/27	19400.00 	Other_TGS	1
no	2023/2/16	19023.00 	NGS	1
yes	2022/12/2	19000.00 	Ultra-long_ONT	1
yes	2023/3/6	18988.43 	HiFi	1
yes	2023/2/21	18949.97 	HiFi	1
yes	2022/6/24	18930.00 	Other_TGS	1
yes	2022/10/4	18920.00 	Other_TGS	1
yes	2023/8/8	18869.15 	HiFi	1
yes	2022/7/4	18780.00 	HiFi	1
yes	2022/9/15	18700.00 	HiFi	1
yes	2023/3/21	18590.00 	Other_TGS	1
yes	2023/9/16	18582.14 	HiFi	1
yes	2021/1/15	18490.00 	Other_TGS	1
yes	2023/7/3	18400.00 	Other_TGS	1
yes	2023/2/14	18310.00 	Other_TGS	1
yes	2022/9/19	18300.00 	Other_TGS	1
yes	2022/9/29	18260.00 	Other_TGS	1
no	2023/2/16	18255.00 	NGS	1
yes	2023/6/20	18250.00 	Other_TGS	1
yes	2023/8/17	18230.00 	Other_TGS	1
yes	2023/5/31	18220.00 	HiFi	1
yes	2021/2/3	18200.00 	Other_TGS	1
yes	2023/7/21	18100.98 	HiFi	1
yes	2022/3/24	18000.00 	HiFi	1
yes	2022/2/21	18000.00 	Other_TGS	1
yes	2022/12/2	18000.00 	Ultra-long_ONT	1
yes	2023/10/27	17860.00 	HiFi	1
yes	2023/10/17	17819.62 	Other_TGS	1
yes	2023/10/25	17703.04 	HiFi	1
yes	2023/11/10	17620.00 	Other_TGS	1
yes	2021/8/30	17600.00 	Other_TGS	1
yes	2023/2/6	17500.00 	Other_TGS	1
yes	2023/4/1	17500.00 	Other_TGS	1
yes	2023/2/6	17400.00 	Other_TGS	1
yes	2022/4/25	17340.00 	Other_TGS	1
yes	2020/9/23	17310.00 	Other_TGS	1
yes	2022/5/13	17300.00 	HiFi	1
yes	2022/7/28	17300.00 	Other_TGS	1
yes	2022/12/30	17260.00 	Other_TGS	1
yes	2023/2/10	17100.00 	Other_TGS	1
yes	2021/8/23	17040.00 	Other_TGS	1
yes	2021/4/19	17000.00 	Other_TGS	1
yes	2023/6/2	16980.00 	HiFi	1
yes	2018/12/3	16970.00 	Other_TGS	1
yes	2023/8/10	16936.78 	HiFi	1
yes	2023/3/11	16880.00 	HiFi	1
yes	2022/3/31	16860.00 	HiFi	1
yes	2021/5/3	16770.00 	Other_TGS	1
yes	2020/12/3	16660.00 	Other_TGS	1
yes	2021/3/16	16657.00 	Other_TGS	1
no	2013/12/17	16644.00 	NGS	1
yes	2023/9/16	16527.12 	HiFi	1
yes	2022/10/11	16500.00 	Other_TGS	1
yes	2022/10/25	16300.00 	HiFi	1
yes	2022/9/1	16220.00 	Other_TGS	1
yes	2023/10/20	16200.00 	HiFi	1
yes	2023/3/1	16071.00 	Other_TGS	1
yes	2022/10/5	15800.00 	Other_TGS	1
yes	2022/10/5	15800.00 	Other_TGS	1
yes	2022/10/5	15800.00 	Other_TGS	1
yes	2022/10/5	15800.00 	Other_TGS	1
yes	2020/10/24	15800.00 	Other_TGS	1
yes	2019/5/31	15780.00 	Other_TGS	1
yes	2022/10/5	15700.00 	Other_TGS	1
yes	2022/12/16	15670.00 	Other_TGS	1
yes	2021/7/12	15430.00 	Other_TGS	1
yes	2022/11/3	15400.00 	Other_TGS	1
yes	2021/6/18	15360.00 	HiFi	1
yes	2022/6/25	15326.68 	HiFi	1
yes	2022/3/7	15310.00 	Other_TGS	1
yes	2023/8/5	15304.95 	HiFi	1
yes	2023/8/5	15304.95 	HiFi	1
yes	2023/6/21	15300.00 	Other_TGS	1
yes	2022/10/5	15200.00 	Other_TGS	1
yes	2023/12/5	15196.10 	HiFi	1
no	2021/6/28	15164.00 	Other_TGS	1
yes	2023/9/15	15150.00 	HiFi	1
yes	2022/8/24	15070.00 	Other_TGS	1
yes	2022/1/30	14980.00 	Other_TGS	1
yes	2021/3/1	14850.00 	Other_TGS	1
yes	2023/10/17	14728.20 	Other_TGS	1
yes	2018/1/22	14560.00 	Other_TGS	1
