No	ScaffoldN50	HiC	T2T
16	41990.00 	yes	yes
21	41900.00 	yes	yes
16	41813.81 	yes	T2T
31	41800.00 	yes	yes
22	41800.00 	yes	yes
31	41600.00 	yes	yes
21	41586.01 	yes	yes
12	41550.00 	yes	T2T
48	41509.38 	no	yes
32	41482.95 	yes	yes
32	41270.00 	yes	yes
27	41200.00 	No_info	yes
31	41100.00 	yes	yes
27	41000.00 	yes	yes
16	41000.00 	yes	yes
9	40970.00 	yes	yes
44	40900.00 	yes	yes
12	40800.00 	yes	yes
50	40800.00 	No_info	yes
27	40700.00 	yes	yes
12	40570.00 	yes	yes
27	40550.00 	No_info	yes
12	40505.05 	yes	yes
9	40470.00 	yes	yes
18	40450.00 	yes	yes
27	40400.00 	yes	yes
12	40100.00 	yes	yes
9	40060.00 	yes	yes
32	39990.00 	no	yes
32	39990.00 	yes	yes
12	39980.00 	yes	yes
27	39960.00 	yes	yes
32	39900.00 	no	no
16	39882.00 	yes	yes
27	39860.00 	No_info	yes
24	39800.00 	yes	yes
31	39700.00 	yes	yes
22	39700.00 	yes	yes
16	39611.00 	no	yes
48	39320.75 	no	yes
18	38970.00 	yes	yes
27	38800.00 	yes	yes
29	38780.00 	yes	yes
48	38763.81 	yes	yes
24	38734.00 	yes	yes
24	38700.00 	yes	yes
31	38600.00 	yes	yes
29	38426.34 	yes	yes
48	38409.08 	no	yes
65	38400.00 	no	no
31	38300.00 	yes	yes
48	38218.02 	no	yes
16	38131.77 	yes	yes
21	38130.00 	yes	yes
18	38100.00 	yes	no
32	38100.00 	yes	yes
21	37976.76 	no	yes
16	37842.00 	no	yes
16	37740.00 	yes	yes
48	37699.57 	no	yes
48	37620.00 	no	yes
24	37580.00 	yes	yes
22	37500.00 	no	no
31	37500.00 	yes	yes
48	37484.08 	no	yes
49	37430.00 	yes	yes
21	37300.00 	yes	yes
6	37280.00 	no	no
16	37251.37 	yes	yes
31	37140.00 	yes	yes
29	37110.00 	yes	yes
48	37100.00 	yes	yes
21	37100.00 	yes	yes
21	37100.00 	yes	yes
48	37099.76 	no	yes
48	37056.84 	no	yes
48	37030.49 	no	yes
29	37000.00 	yes	yes
12	37000.00 	yes	yes
31	36916.92 	yes	T2T
10	36910.00 	yes	yes
48	36862.03 	no	yes
21	36820.00 	yes	yes
46	36760.00 	no	yes
29	36654.00 	no	yes
7	36593.00 	yes	yes
31	36508.76 	yes	yes
56	36500.00 	yes	yes
12	36440.66 	yes	yes
22	36349.00 	yes	yes
12	36200.00 	yes	yes
31	36180.00 	yes	yes
9	36171.00 	yes	yes
21	36160.00 	yes	yes
31	36115.58 	yes	yes
31	36111.53 	yes	yes
21	36100.00 	no	no
31	36100.00 	no	yes
29	36100.00 	yes	yes
48	36075.78 	no	yes
48	36054.14 	no	yes
31	36053.00 	no	yes
48	36020.64 	no	yes
9	36020.00 	No_info	yes
16	36000.00 	yes	yes
32	35860.00 	yes	no
24	35770.47 	no	no
44	35750.00 	yes	yes
27	35740.00 	No_info	yes
31	35733.00 	no	yes
31	35680.00 	no	yes
24	35504.60 	no	no
48	35500.00 	no	yes
48	35383.89 	no	yes
48	35210.06 	no	yes
48	35207.32 	no	yes
48	35183.32 	no	yes
12	35130.00 	yes	yes
29	35100.00 	yes	yes
18	35100.00 	yes	yes
48	35001.61 	no	yes
31	35000.00 	yes	yes
29	34860.00 	no	yes
21	34800.00 	yes	yes
31	34602.00 	yes	yes
55	34600.00 	yes	yes
29	34500.00 	yes	yes
29	34496.00 	yes	yes
31	34492.00 	yes	yes
22	34473.00 	no	yes
31	34460.00 	yes	yes
22	34400.00 	no	yes
24	34321.03 	no	no
24	34270.00 	yes	yes
56	34248.60 	yes	yes
33	34175.56 	yes	yes
16	34030.00 	yes	yes
31	33980.00 	no	yes
48	33901.23 	no	yes
31	33800.00 	no	yes
21	33740.00 	yes	T2T
48	33730.98 	no	yes
29	33700.00 	yes	yes
21	33600.00 	no	yes
7	33450.00 	yes	yes
31	33440.00 	yes	yes
48	33378.85 	no	yes
48	33344.47 	no	yes
48	33280.00 	no	yes
48	33267.32 	no	yes
6	33230.36 	yes	yes
12	33200.00 	yes	yes
48	33100.00 	no	yes
48	33092.16 	no	yes
24	32970.00 	yes	yes
8	32930.00 	yes	yes
48	32902.95 	no	yes
48	32859.75 	no	yes
24	32837.96 	no	no
48	32836.16 	no	yes
31	32810.00 	no	yes
24	32800.00 	yes	yes
48	32790.00 	yes	yes
48	32751.65 	no	yes
48	32597.06 	no	yes
48	32563.22 	no	yes
7	32500.00 	yes	yes
16	32415.00 	yes	no
48	32410.86 	no	yes
48	32328.11 	no	yes
31	32320.00 	yes	yes
24	32314.00 	yes	yes
48	32312.47 	no	yes
48	32298.03 	no	yes
48	32275.81 	no	yes
48	32272.68 	no	yes
48	32228.46 	no	yes
48	32223.71 	no	yes
48	32215.70 	no	yes
48	32200.21 	no	yes
21	32200.00 	yes	yes
32	32197.00 	yes	yes
48	32080.38 	no	yes
24	32070.00 	yes	yes
33	32060.00 	yes	yes
48	32002.14 	no	yes
24	31991.71 	no	no
48	31970.73 	no	yes
33	31930.00 	yes	yes
21	31900.00 	yes	yes
21	31824.32 	yes	yes
32	31810.00 	yes	yes
48	31758.49 	no	yes
48	31730.00 	no	yes
33	31720.00 	yes	yes
48	31711.44 	no	yes
18	31692.48 	yes	yes
21	31689.45 	yes	yes
24	31600.00 	yes	yes
33	31580.00 	yes	yes
48	31563.39 	no	yes
48	31542.37 	no	yes
48	31539.39 	no	yes
31	31531.00 	yes	yes
48	31515.90 	no	yes
27	31500.00 	no	yes
10	31458.00 	yes	yes
24	31400.00 	no	yes
48	31337.52 	no	yes
48	31332.59 	no	yes
29	31330.00 	yes	yes
29	31330.00 	yes	yes
32	31320.00 	yes	yes
31	31260.00 	yes	yes
12	31200.00 	yes	yes
48	31133.98 	no	yes
31	31120.00 	yes	yes
48	31103.32 	no	yes
48	31053.48 	no	yes
48	31043.76 	no	yes
16	31000.00 	yes	no
21	31000.00 	no	yes
33	31000.00 	yes	yes
10	30966.32 	no	yes
48	30964.77 	no	yes
48	30953.48 	no	yes
48	30944.89 	no	yes
48	30925.11 	no	yes
48	30905.01 	no	yes
32	30900.00 	yes	yes
31	30876.00 	yes	yes
48	30874.65 	no	yes
46	30830.00 	yes	T2T
24	30800.00 	yes	yes
32	30790.00 	no	yes
31	30779.00 	yes	yes
48	30724.06 	no	yes
48	30712.22 	no	yes
83	30709.57 	yes	yes
32	30700.00 	yes	yes
48	30663.62 	no	yes
48	30662.76 	yes	yes
31	30650.00 	yes	yes
48	30612.04 	no	yes
48	30540.39 	no	yes
48	30539.02 	no	yes
48	30510.49 	no	yes
48	30508.67 	no	yes
21	30499.18 	yes	yes
48	30496.73 	no	yes
48	30449.52 	no	yes
48	30440.97 	no	yes
59	30380.00 	yes	yes
30	30380.00 	yes	yes
48	30371.10 	no	yes
48	30366.16 	no	yes
48	30357.40 	no	yes
48	30320.16 	no	yes
48	30306.56 	no	yes
48	30300.00 	no	yes
31	30278.00 	yes	yes
48	30200.00 	yes	yes
48	30142.67 	no	yes
31	30093.00 	yes	yes
83	30000.00 	yes	yes
48	29985.77 	no	yes
48	29966.81 	no	yes
48	29938.09 	no	yes
48	29887.91 	no	yes
48	29832.00 	yes	yes
48	29831.09 	no	yes
57	29800.00 	yes	yes
30	29760.00 	yes	yes
31	29680.00 	yes	yes
48	29644.36 	no	yes
9	29600.00 	yes	yes
21	29520.00 	no	yes
31	29510.00 	yes	yes
31	29500.00 	yes	yes
24	29500.00 	yes	yes
31	29480.00 	no	yes
31	29440.00 	no	yes
22	29439.00 	yes	yes
24	29430.00 	yes	yes
31	29400.00 	yes	yes
24	29400.00 	yes	yes
48	29353.80 	no	yes
22	29300.00 	yes	yes
31	29200.00 	yes	yes
9	29200.00 	yes	yes
48	29154.92 	no	yes
48	29000.00 	yes	yes
12	29000.00 	yes	yes
27	28960.00 	yes	yes
24	28944.50 	no	no
48	28911.38 	no	yes
31	28885.29 	yes	yes
48	28850.00 	yes	yes
18	28714.07 	no	yes
31	28660.00 	yes	yes
31	28549.25 	yes	yes
48	28440.00 	yes	yes
30	28400.00 	no	yes
24	28400.00 	no	yes
30	28380.00 	No_info	yes
31	28247.03 	yes	yes
21	28160.00 	yes	yes
10	28154.00 	yes	yes
31	28122.40 	yes	yes
31	28110.00 	yes	yes
10	28096.27 	yes	yes
24	28020.00 	yes	yes
33	28000.00 	no	yes
12	27977.32 	yes	yes
31	27968.30 	yes	yes
31	27933.90 	yes	yes
49	27900.00 	yes	yes
21	27890.00 	no	yes
31	27890.00 	yes	yes
31	27890.00 	yes	yes
48	27830.00 	no	yes
31	27791.00 	yes	yes
24	27700.00 	yes	yes
37	27600.00 	yes	yes
21	27560.00 	no	yes
31	27510.00 	yes	yes
31	27400.00 	no	yes
21	27380.00 	no	yes
21	27350.00 	no	yes
31	27310.00 	yes	yes
31	27300.00 	yes	yes
21	27290.00 	no	yes
32	27220.00 	yes	yes
30	27207.88 	yes	yes
21	27160.00 	no	yes
21	27120.00 	no	yes
21	27110.00 	no	yes
24	27100.00 	no	yes
24	27100.00 	yes	yes
21	27085.76 	yes	yes
21	27080.00 	no	yes
21	27080.00 	no	yes
21	27070.00 	no	yes
21	27060.00 	no	yes
22	27000.00 	no	no
21	26960.00 	no	yes
21	26960.00 	no	yes
22	26900.00 	no	no
21	26900.00 	no	yes
21	26900.00 	no	yes
31	26870.00 	yes	yes
31	26800.00 	no	yes
21	26790.00 	no	yes
21	26740.00 	no	yes
31	26727.50 	yes	yes
21	26620.00 	no	yes
31	26540.00 	yes	yes
21	26530.00 	no	yes
20	26510.00 	yes	yes
37	26431.20 	no	yes
21	26430.00 	no	yes
37	26414.27 	no	yes
21	26360.00 	no	yes
31	26342.00 	no	yes
21	26230.00 	no	yes
33	26226.00 	yes	yes
21	26200.00 	no	yes
21	26180.00 	no	yes
21	26161.00 	yes	yes
21	26150.00 	no	T2T
48	26142.00 	no	yes
21	26110.00 	no	yes
21	26100.00 	no	yes
12	26000.00 	yes	yes
10	26000.00 	yes	yes
31	25840.00 	yes	yes
37	25800.66 	no	yes
21	25760.00 	no	yes
37	25747.76 	no	yes
21	25723.00 	yes	yes
31	25637.36 	yes	yes
21	25609.00 	yes	yes
12	25600.00 	yes	yes
21	25530.00 	no	yes
63	25520.00 	yes	yes
31	25500.00 	no	yes
21	25490.00 	no	yes
37	25475.94 	no	yes
30	25400.00 	yes	T2T
