Year	ContigN50
2022	5110.84
2022	6196.58
2022	6360.95
2022	6941.64
2022	13517.66
2022	5606.24
2022	11235.56
2022	14016.59
2022	11462.55
2022	14407.05
2022	7989.43
2022	11675.16
2022	11231.29
2022	10447.09
2022	10619.45
2022	9417.32
2022	11934.73
2022	14878.00
2022	16446.63
2022	7610.32
2022	9928.06
2022	7746.72
2022	13110.39
2022	11544.09
2022	8230.54
2022	14237.18
2022	10011.70
2022	11145.19
2022	11532.97
2022	7925.13
2022	10604.95
2022	13764.53
2022	17089.19
2022	9417.34
2022	14008.27
2022	11623.09
2022	12419.45
2022	7703.64
2022	13776.32
2022	9434.90
2022	12153.55
2022	10059.51
2022	10829.75
2022	14020.26
2022	11154.63
2022	12944.28
2022	10460.58
2022	12750.61
2022	9575.90
2022	12326.27
2022	9628.61
2022	10652.50
2022	10775.90
2022	15051.48
2022	15888.19
2022	10477.96
2022	11134.56
2022	12524.21
2022	10256.18
2022	6410.15
2022	6472.52
2022	14464.86
2022	13932.53
2022	18608.30
2022	11428.25
2022	8161.45
2022	11166.83
2022	10257.34
2022	10261.08
2022	11621.55
2022	9373.79
2022	12301.55
2022	10820.86
2022	14464.07
2022	8460.28
2022	12789.31
2022	10645.84
2022	7126.34
2022	12562.34
2022	16578.51
2022	14173.18
2022	11160.28
2022	12160.53
2022	11436.83
2022	14108.48
2022	13088.96
2022	13588.74
2022	11520.75
2022	9951.20
2022	10865.96
2022	17826.74
2022	11641.69
2022	9986.26
2022	13994.93
2022	13655.40
2022	12520.39
2022	10432.81
2022	14616.44
2022	10961.80
2022	17240.59
2022	11061.48
2022	11866.82
2022	13305.67
2022	10049.60
2022	6634.62
2022	15993.98
2022	14062.63
2022	7545.34
2022	6875.40
2022	11520.88
2022	13072.44
2022	11156.34
2022	14152.77
2022	11408.88
2022	15650.82
2022	9370.40
2022	7595.29
2022	16129.54
2022	10225.36
2022	5255.42
2022	13906.52
2022	11886.91
2022	8894.96
2022	10816.59
2022	15500.29
2022	12904.19
2022	11791.98
2022	7217.55
2022	13923.17
2022	16016.88
2022	6705.92
2022	10168.07
2022	10764.42
2022	7844.77
2022	16111.91
2022	13725.73
2022	13721.44
2022	15443.51
2022	9204.70
2022	9346.47
2022	9887.09
2022	9318.91
2022	4949.17
2022	10341.44
2022	13351.67
2022	14004.75
2022	9116.53
2022	9578.17
2022	13526.29
2022	15391.39
2022	12342.35
2022	11332.82
2022	8605.50
2022	10950.01
2022	11734.25
2022	11542.00
2022	13470.26
2022	10083.74
2022	12367.63
2022	15991.25
2022	10007.54
2022	17305.20
2022	10446.37
2022	12545.22
2022	12883.95
2022	10898.64
2022	12982.60
2022	17061.70
2022	13097.86
2022	13908.30
2022	10417.72
2022	9858.00
2022	14130.34
2022	7354.38
2022	11691.01
2022	3365.38
2022	13619.36
2022	11533.40
2022	9637.76
2022	7415.46
2022	16896.91
2022	13483.46
2022	12445.53
2022	12781.98
2022	9232.45
2022	16693.85
2022	11715.14
2022	14065.94
2022	10029.81
2022	7374.17
2022	10673.72
2022	14372.82
2022	11967.03
2022	13391.66
2022	6025.83
2022	14770.72
2022	8844.83
2022	12491.44
2022	5239.85
2022	15394.80
2022	9984.56
2022	10401.82
2022	10047.35
2022	10420.16
2022	11208.63
2022	11719.18
2022	13069.22
2021	86.00
2021	3100.00
2021	6198.00
2021	269.11
2021	221.00
2021	751.26
2021	11020.00
2021	8400.00
2021	1220.00
2021	14850.00
2021	2852.00
2021	2360.00
2021	2090.00
2021	1300.00
2021	4213.00
2021	1580.00
2021	616.85
2021	15360.00
2021	12680.00
2021	3770.00
2021	1540.00
2021	5280.00
2021	4680.00
2021	1280.20
2021	1860.00
2021	292.00
2021	3315.00
2021	2267.00
2021	8301.00
2021	4545.00
2021	2907.00
2021	588.00
2021	410.00
2021	1210.00
2021	4870.00
2021	13.00
2021	18490.00
2021	5500.00
2021	505.21
2021	881.20
2021	1710.00
2021	47.00
2021	6200.00
2021	806.60
2021	1470.00
2021	5170.00
2021	1800.00
2021	1300.00
2021	3200.00
2021	1700.00
2021	26500.00
2021	4400.00
2021	3700.00
2021	4400.00
2021	1480.00
2021	79.80
2021	68.70
2021	3211.00
2021	5290.00
2021	65570.00
2021	1740.00
2021	4590.00
2021	53740.00
2021	23800.00
2022	281.00
2022	164.00
2022	238.00
2022	24800.00
2022	2100.00
2022	4300.00
2022	4700.00
2022	1700.00
2022	2100.00
2022	2100.00
2022	4300.00
2022	4400.00
2022	3800.00
2022	5300.00
2022	3900.00
2022	4500.00
2022	19750.00
2022	1220.00
2022	870.00
2022	2880.00
2022	4307.00
2022	41300.00
2022	7970.00
2022	5823.30
2022	39560.36
2022	18260.00
2022	6410.96
2022	7340.00
2022	228.00
2022	1500.00
2023	4370.00
2023	6970.00
2023	157.99
2023	18590.00
2023	27480.00
2023	2823.00
2023	3030.00
2023	105170.00
2023	11000.00
2023	1870.00
2023	12000.00
2023	15300.00
2021	820.44
2021	185.09
2021	87.13
2021	2065.17
2021	75.81
2021	116.48
2021	139.43
2021	3479.16
2021	342.00
2021	402.33
2021	253.52
2021	385.21
2021	163.71
2021	288.99
2021	1580.00
2021	500.00
2021	500.00
2021	1900.00
2021	2200.00
2021	272.44
2021	24200.00
2021	3287.09
2021	305.76
2021	289.79
2021	3522.28
2021	1708.37
2021	2440.00
2022	6800.00
2022	4900.00
2022	2200.00
2022	4000.00
2022	4200.00
2022	4700.00
2022	1570.00
2022	1770.00
2022	12092.86
2022	12800.00
2022	961.58
2022	16220.00
2022	2300.00
2023	17400.00
2023	17500.00
2023	21534.09
2023	18988.43
2023	20077.03
2023	76900.00
2023	66744.00
2021	6799.00
2021	6556.00
2021	331.00
2022	1437.06
2021	5500.00
2022	5157.00
2022	42552.00
2022	21.03
2022	28646.14
2022	19769.89
2022	30680.50
2022	24157.70
2022	31210.30
2022	38573.35
2022	25992.53
2022	28148.40
2022	24904.66
2022	24394.16
2022	32221.27
2022	41556.49
2022	46617.19
2022	21364.74
2022	33713.26
2022	21065.78
2022	30611.71
2022	40524.74
2022	13707.72
2022	40565.69
2022	41588.03
2022	21182.09
2022	19807.09
2022	41697.49
2022	39124.67
2022	52167.30
2022	16886.62
2022	15526.37
2022	30450.03
2022	14349.95
2022	18163.48
2022	19105.40
2022	27721.62
2022	9366.62
2022	6634.70
2022	18842.62
2022	25596.30
2022	14020.64
2022	12333.94
2022	28812.41
2022	15801.64
2022	9743.61
2022	17250.85
2022	24140.79
2022	59600.55
2022	18890.98
2022	25917.17
2022	33062.19
2022	26988.32
2022	16146.75
2022	2490.98
2022	29420.00
2022	18619.26
2022	15455.72
2022	28649.12
2022	22570.06
2022	28567.61
2022	27804.82
2022	41709.02
2022	19254.05
2022	5461.16
2022	34585.03
2022	32102.30
2022	25106.69
2022	22231.02
2022	30686.79
2022	23716.78
2022	28923.31
2022	24537.53
2022	9728.58
2022	25266.90
2022	20951.57
2022	21995.38
2023	1600.00
2023	2700.00
2021	480.35
2021	42980.00
2021	1940.00
2021	9240.00
2021	13150.00
2021	1926.00
2022	752.00
2022	3800.00
2022	3800.00
2022	3600.00
2022	6400.00
2022	2100.00
2022	11500.00
2022	13400.00
2022	381.90
2022	5637.00
2022	7298.00
2022	75270.00
2022	8980.00
2022	19800.00
2022	22900.00
2022	10500.00
2022	11200.00
2022	20100.00
2022	28800.00
2022	7700.00
2023	631.00
2023	485.00
2023	515.00
2023	468.00
2023	1198.00
2023	691.00
2023	2074.00
2023	933.00
2023	634.00
2023	273.00
2023	498.00
2023	651.00
2023	14500.00
2023	25570.00
2023	5150.00
2023	3100.00
2023	61620.00
