Year	Size
3y	1066.00 
3y	1063.30 
20y	1060.00 
20y	1060.00 
3y	1060.00 
3y	1060.00 
3y	1057.00 
3y	1055.00 
20y	1050.00 
3y	1050.00 
3y	1045.00 
3y	1043.40 
3y	1043.00 
3y	1040.00 
3y	1030.00 
3y	1027.31 
20y	1025.00 
20y	1025.00 
20y	1025.00 
20y	1024.00 
3y	1021.59 
20y	1021.00 
20y	1021.00 
3y	1020.00 
3y	1020.00 
3y	1020.00 
20y	1016.00 
3y	1015.36 
3y	1015.02 
20y	1013.85 
20y	1013.20 
3y	1011.79 
3y	1011.76 
20y	1011.00 
20y	1010.00 
3y	1010.00 
20y	1010.00 
3y	1009.40 
20y	1009.00 
3y	1007.24 
3y	1005.67 
3y	1004.95 
3y	1004.72 
20y	1004.66 
3y	1004.00 
3y	1002.88 
20y	1001.44 
3y	1001.00 
3y	1000.62 
3y	1000.00 
3y	999.00 
3y	998.25 
20y	996.00 
3y	994.07 
20y	994.00 
20y	992.00 
3y	991.30 
3y	990.83 
3y	988.90 
3y	986.31 
20y	986.00 
3y	985.63 
20y	985.20 
3y	984.21 
20y	982.00 
20y	980.30 
3y	978.59 
20y	978.00 
3y	976.27 
3y	975.00 
3y	974.87 
3y	970.00 
3y	968.16 
3y	966.25 
3y	965.80 
20y	965.00 
3y	964.20 
3y	958.83 
3y	958.20 
3y	957.10 
20y	955.10 
20y	953.30 
3y	952.30 
3y	950.70 
20y	950.00 
3y	948.00 
20y	947.84 
3y	945.60 
3y	943.00 
20y	942.00 
20y	942.00 
20y	939.00 
3y	936.60 
20y	936.00 
3y	936.00 
3y	935.70 
3y	933.00 
20y	933.00 
20y	932.00 
20y	930.51 
3y	930.43 
20y	925.00 
3y	922.00 
20y	921.50 
20y	919.80 
3y	916.00 
20y	915.00 
3y	914.49 
20y	914.00 
20y	914.00 
3y	913.50 
20y	913.00 
3y	913.00 
3y	912.62 
20y	912.00 
3y	908.00 
3y	907.00 
3y	904.13 
3y	904.00 
3y	901.93 
3y	901.90 
20y	895.00 
3y	894.60 
3y	894.30 
20y	894.00 
3y	893.54 
20y	892.00 
3y	890.83 
3y	890.00 
3y	889.71 
3y	888.70 
20y	887.00 
3y	884.78 
3y	884.18 
20y	883.81 
3y	882.69 
3y	878.60 
3y	876.30 
3y	876.00 
3y	869.69 
20y	869.50 
20y	869.00 
20y	868.00 
3y	867.43 
3y	867.36 
20y	867.00 
20y	866.00 
3y	865.09 
3y	865.09 
20y	865.00 
3y	863.40 
3y	863.16 
3y	862.40 
3y	861.90 
3y	860.00 
3y	859.90 
3y	858.70 
3y	858.00 
20y	855.00 
20y	853.35 
3y	853.00 
3y	852.85 
20y	851.96 
3y	851.00 
20y	849.70 
20y	849.53 
3y	849.04 
20y	848.40 
20y	848.00 
20y	847.16 
3y	846.29 
3y	845.71 
3y	843.51 
20y	843.20 
3y	842.20 
20y	841.00 
3y	839.90 
3y	838.90 
20y	836.00 
3y	835.00 
3y	834.90 
20y	833.10 
20y	833.00 
3y	833.00 
3y	832.70 
3y	832.00 
20y	830.00 
20y	827.92 
3y	826.70 
3y	826.70 
3y	826.68 
3y	826.50 
3y	826.00 
3y	825.21 
3y	825.00 
20y	825.00 
3y	824.20 
20y	823.74 
3y	823.41 
3y	823.40 
20y	823.00 
3y	823.00 
3y	822.64 
3y	822.00 
3y	821.60 
3y	821.24 
3y	821.00 
20y	820.10 
3y	820.00 
3y	818.66 
3y	818.38 
3y	818.00 
3y	817.96 
20y	816.00 
3y	816.00 
3y	814.40 
3y	812.00 
3y	811.04 
3y	811.00 
20y	811.00 
3y	809.84 
20y	809.79 
3y	808.80 
20y	808.00 
3y	808.00 
20y	808.00 
3y	807.70 
