Year	ContigN50	Type
3y	10500.00 	pan-genome
3y	10477.96 	pan-genome
3y	10460.58 	pan-genome
3y	10447.09 	pan-genome
3y	10446.37 	pan-genome
3y	10432.81 	pan-genome
3y	10420.16 	pan-genome
3y	10417.72 	pan-genome
3y	10401.82 	pan-genome
3y	10400.00 	pan-genome
3y	10400.00 	pan-genome
3y	10380.00 	pan-genome
3y	10380.00 	pan-genome
3y	10341.44 	pan-genome
3y	10317.00 	pan-genome
3y	10261.08 	pan-genome
3y	10260.00 	T2T
3y	10260.00 	haplotype
3y	10257.34 	pan-genome
3y	10256.18 	pan-genome
3y	10225.36 	pan-genome
3y	10168.07 	pan-genome
3y	10089.10 	pan-genome
3y	10083.74 	pan-genome
3y	10059.51 	pan-genome
3y	10049.60 	pan-genome
3y	10047.35 	pan-genome
3y	10029.81 	pan-genome
3y	10011.70 	pan-genome
3y	10007.54 	pan-genome
3y	9986.26 	pan-genome
3y	9984.56 	pan-genome
3y	9953.16 	pan-genome
3y	9951.20 	pan-genome
3y	9934.90 	pan-genome
3y	9930.00 	pan-genome
3y	9928.06 	pan-genome
3y	9887.09 	pan-genome
3y	9870.00 	pan-genome
3y	9858.00 	pan-genome
3y	9830.00 	haplotype
3y	9800.00 	pan-genome
3y	9749.08 	pan-genome
3y	9743.61 	pan-genome
3y	9728.58 	pan-genome
3y	9720.00 	pan-genome
3y	9637.76 	pan-genome
3y	9628.61 	pan-genome
3y	9610.00 	pan-genome
3y	9578.17 	pan-genome
3y	9575.90 	pan-genome
3y	9552.60 	pan-genome
3y	9486.85 	pan-genome
3y	9434.90 	pan-genome
3y	9417.34 	pan-genome
3y	9417.32 	pan-genome
3y	9373.79 	pan-genome
3y	9370.40 	pan-genome
3y	9366.62 	pan-genome
3y	9346.47 	pan-genome
3y	9318.91 	pan-genome
3y	9260.00 	pan-genome
3y	9232.45 	pan-genome
3y	9204.70 	pan-genome
3y	9116.53 	pan-genome
3y	9110.00 	pan-genome
3y	9100.00 	pan-genome
3y	9060.00 	pan-genome
3y	9020.00 	pan-genome
3y	9019.23 	pan-genome
3y	9004.65 	pan-genome
3y	8980.00 	pan-genome
3y	8900.00 	haplotype
3y	8900.00 	pan-genome
3y	8894.96 	pan-genome
3y	8861.63 	pan-genome
3y	8844.83 	pan-genome
3y	8660.00 	pan-genome
3y	8605.50 	pan-genome
3y	8600.00 	pan-genome
3y	8460.28 	pan-genome
3y	8400.00 	haplotype
3y	8260.80 	pan-genome
3y	8230.54 	pan-genome
3y	8220.00 	pan-genome
3y	8180.00 	pan-genome
3y	8161.45 	pan-genome
3y	8096.14 	pan-genome
3y	8080.00 	pan-genome
3y	8030.00 	pan-genome
3y	7989.43 	pan-genome
3y	7970.00 	pan-genome
3y	7950.00 	T2T
3y	7925.13 	pan-genome
3y	7920.00 	pan-genome
3y	7844.77 	pan-genome
3y	7840.00 	pan-genome
3y	7820.00 	pan-genome
3y	7760.00 	pan-genome
3y	7746.72 	pan-genome
3y	7710.00 	pan-genome
3y	7703.64 	pan-genome
3y	7700.00 	pan-genome
3y	7610.32 	pan-genome
3y	7600.00 	haplotype
