Genomesize	ContigN50	Platform
348.38	4360.00	Other_TGS
1021.00	4340.00	Other_TGS
536.50	4340.00	Other_TGS
865.00	4330.00	Other_TGS
3685.00	4310.37	Other_TGS
372.72	4307.00	Other_TGS
225.60	4300.00	HiFi
288.97	4290.00	Other_TGS
4050.00	4270.00	Other_TGS
472.00	4250.00	Other_TGS
484.85	4213.00	Other_TGS
893.54	4210.00	Other_TGS
668.50	4180.00	Other_TGS
527.30	4180.00	Other_TGS
411.26 	4130.00	Other_TGS
247.33	4130.00	Other_TGS
804.26	4110.00	Other_TGS
478.50	4100.00	Other_TGS
456.50	4100.00	Other_TGS
613.38	4080.00	Other_TGS
456.21	4050.00	Other_TGS
526.00	4030.00	Other_TGS
368.20	4020.00	Other_TGS
388.00	4019.00	Other_TGS
207.00	4010.00	NGS
441.00	4000.00	Other_TGS
272.00	4000.00	Other_TGS
761.00	3980.00	Other_TGS
373.00	3963.00	Other_TGS
1120.00	3956.00	Other_TGS
816.00	3920.00	Other_TGS
507.00	3910.00	Other_TGS
783.70	3900.00	Other_TGS
740.00	3887.00	HiFi
6800.00	3868.53	HiFi
231.21	3865.00	Other_TGS
793.20	3860.00	Other_TGS
410.68	3851.19	Other_TGS
711.47	3820.00	Other_TGS
370.00	3818.14	Other_TGS
367.61	3801.60	Other_TGS
774.10	3800.00	HiFi
754.20	3800.00	HiFi
347.60	3800.00	Other_TGS
521.91	3797.90	Other_TGS
807.70	3770.00	Other_TGS
397.00	3770.00	Other_TGS
579.01	3750.00	Other_TGS
766.00	3726.47	Other_TGS
668.99	3700.00	Other_TGS
671.99	3650.00	Other_TGS
846.29	3648.61	Other_TGS
863.16	3639.16	Other_TGS
264.83	3630.00	Other_TGS
232.64	3630.00	HiFi
619.85	3620.91	Other_TGS
1001.44	3620.00	Other_TGS
774.70	3600.00	HiFi
265.00	3600.00	Other_TGS
214.17	3559.99	Other_TGS
5052.02	3525.66	Other_TGS
5025.00	3525.00	Other_TGS
323.13	3522.28	No_info
1884.00	3510.00	Other_TGS
654.00	3500.00	Other_TGS
392.90	3500.00	Other_TGS
362.30	3500.00	Other_TGS
215.00	3500.00	Other_TGS
613.06	3475.48	Other_TGS
7684.95	3465.82	ultra-long_ONT
1025.00	3460.00	Other_TGS
730.00	3456.00	Other_TGS
5025.14	3451.74	Other_TGS
5052.00	3451.00	Other_TGS
366.00	3450.00	Other_TGS
397.00	3430.00	Other_TGS
102.00	3420.00	Other_TGS
512.00	3400.00	Other_TGS
120.10	3400.00	Other_TGS
678.90	3390.00	Other_TGS
241.72	3350.00	Other_TGS
215.69	3340.00	Other_TGS
138.49	3340.00	Other_TGS
249.70	3315.00	Other_TGS
4390.00	3310.00	Other_TGS
1013.20	3300.00	Other_TGS
878.60	3300.00	Other_TGS
842.20	3300.00	HiFi
